id,station_name,lat,lon,station_link,download_link,measuring_point_height
IE_WE_G_0019_2200_0002,BALLINROBE GWL,53.640701905450406,-9.214573567225797,https://epawebapp.epa.ie/Hydronet/#IE_WE_G_0019_2200_0002,https://epawebapp.epa.ie/Hydronet/output/internet/stations/CAS/IE_WE_G_0019_2200_0002/GWL/complete_daymean.zip,30.81
IE_WE_G_0019_2200_0016,Lisatava,53.65835993885907,-9.075223103260258,https://epawebapp.epa.ie/Hydronet/#IE_WE_G_0019_2200_0016,https://epawebapp.epa.ie/Hydronet/output/internet/stations/CAS/IE_WE_G_0019_2200_0016/GWL/complete_daymean.zip,51.268
IE_WE_G_0020_1200_0007,Corbally,53.396907063686385,-8.890991168306247,https://epawebapp.epa.ie/Hydronet/#IE_WE_G_0020_1200_0007,https://epawebapp.epa.ie/Hydronet/output/internet/stations/CAS/IE_WE_G_0020_1200_0007/GWL/complete_daymean.zip,35.209
IE_WE_G_0020_1200_0021,LACKAGH,53.37021538021349,-8.890524451179672,https://epawebapp.epa.ie/Hydronet/#IE_WE_G_0020_1200_0021,https://epawebapp.epa.ie/Hydronet/output/internet/stations/CAS/IE_WE_G_0020_1200_0021/GWL/complete_daymean.zip,44.127
IE_WE_G_0020_2200_0018,SHRULE GWL,53.52138410651623,-9.088925650465168,https://epawebapp.epa.ie/Hydronet/#IE_WE_G_0020_2200_0018,https://epawebapp.epa.ie/Hydronet/output/internet/stations/CAS/IE_WE_G_0020_2200_0018/GWL/complete_daymean.zip,35.475
IE_WE_G_0033_2200_0017,Mayo Abbey,53.77312911430385,-9.129419323823107,https://epawebapp.epa.ie/Hydronet/#IE_WE_G_0033_2200_0017,https://epawebapp.epa.ie/Hydronet/output/internet/stations/CAS/IE_WE_G_0033_2200_0017/GWL/complete_daymean.zip,38.885
IE_WE_G_0046_2200_0003,Ballycastle GWL,54.305529359221104,-9.353198912060046,https://epawebapp.epa.ie/Hydronet/#IE_WE_G_0046_2200_0003,https://epawebapp.epa.ie/Hydronet/output/internet/stations/CAS/IE_WE_G_0046_2200_0003/GWL/complete_daymean.zip,15.344
IE_WE_G_0047_2200_0014,KILLALA,54.20990535108727,-9.223191619678376,https://epawebapp.epa.ie/Hydronet/#IE_WE_G_0047_2200_0014,https://epawebapp.epa.ie/Hydronet/output/internet/stations/CAS/IE_WE_G_0047_2200_0014/GWL/complete_daymean.zip,9.004
IE_WE_G_0057_2200_0021,GC1 Shallow,54.17856422034288,-9.89649540027922,https://epawebapp.epa.ie/Hydronet/#IE_WE_G_0057_2200_0021,https://epawebapp.epa.ie/Hydronet/output/internet/stations/CAS/IE_WE_G_0057_2200_0021/GWL/complete_daymean.zip,65.128
IE_WE_G_0057_2200_0023,GC1 Deep,54.17859091575162,-9.896511939123027,https://epawebapp.epa.ie/Hydronet/#IE_WE_G_0057_2200_0023,https://epawebapp.epa.ie/Hydronet/output/internet/stations/CAS/IE_WE_G_0057_2200_0023/GWL/complete_daymean.zip,64.855
